IdPuntoRecarga|Operador|Direccion|CodPostal|Provincia|Municipio|Localizacion|CoordenadaXDec|CoordenadaYDec|PotenciaMaxima
ES*CRF*ESANJUANDEAZNALFARACHE|CENTROS COMERCIALES CARREFOUR SA|C. San Juan de Aznalfarache, Km. 1,|41920|Sevilla|San Juan de Aznalfarache|APARCAMIENTO EN SUPERFICIE|-6.0352329|37.3681737|50.00
ES*68C*E1|Club Nàutic l'Escala|PORT DE LA CLOTA S/N|17130|Girona|Escala, L'|APARCAMIENTO EN SUPERFICIE|3.14755|42.1163285|22.00
ES*68C*E2|Club Nàutic l'Escala|PORT DE LA CLOTA S/N|17130|Girona|Escala, L'|APARCAMIENTO EN SUPERFICIE|3.14755|42.1163285|22.00
ES*68C*E3|Club Nàutic l'Escala|PORT DE LA CLOTA S/N|17130|Girona|Escala, L'|APARCAMIENTO EN SUPERFICIE|3.14856923|42.1187532|22.00
ES*910*E1|FUNDACION PAIDEIA GALIZA|POLIG POCOMACO QUINTA AVD Nº 91|15190|Coruña, A|Coruña, A|APARCAMIENTO EN SUPERFICIE|-8.436483|43.327109|22.00
ES*FCT*E229320|CHARGING TOGETHER SL|Venta El Culebrin,1|6260|BADAJOZ|MONESTERIO|EN LA CALLE|-6.220289|38.028013|120.00
ES*FCT*E228325|CHARGING TOGETHER SL|Ap-7 (Mrg. Dcho) Km. 570,S/N|46770|VALENCIA|XERACO|A LO LARGO DE LA AUTOPISTA|-0.228151|39.040335|150.00
ES*FCT*E228024|CHARGING TOGETHER SL|Mar Cantabrico- Sector Viii,15|3177|ALICANTE|SAN FULGENCIO|APARCAMIENTO ÁEREO|-0.65702|38.119175|120.00
ES*FCT*E228329|CHARGING TOGETHER SL|Martin Luther King Esq M-216,S/N|28830|MADRID|SAN FERNANDO DE HENARES|A LO LARGO DE LA AUTOPISTA|-3.521212|40.412866|150.00
ES*FCT*E228739|CHARGING TOGETHER SL|Madrid-Toledo,25D|45280|TOLEDO|TOLEDO|APARCAMIENTO EN SUPERFICIE|-4.007656|39.913915|150.00
ES*FCT*E228016|CHARGING TOGETHER SL|Nacional Ii,536|8717|BARCELONA|BARCELONA|APARCAMIENTO EN SUPERFICIE|1.400437|41.616684|180.00
ES*FCT*E228323|CHARGING TOGETHER SL|Ap-7 (Mrg. Izqdo) Km. 570,S/N|46770|VALENCIA|XERACO|A LO LARGO DE LA AUTOPISTA|-0.226643|39.039507|150.00
ES*FCT*E228333|CHARGING TOGETHER SL|Cayetano Del Toro,32|11010|CADIZ|CADIZ|A LO LARGO DE LA AUTOPISTA|-6.275962|36.504236|150.00
ES*FCT*E228223|CHARGING TOGETHER SL|N-340, Km 107,3|11203|CADIZ|ALGECIRAS|A LO LARGO DE LA AUTOPISTA|-5.454406|36.149989|120.00
ES*FCT*E227929|CHARGING TOGETHER SL|Victor Garrigos,9|30110|MURCIA|MURCIA|APARCAMIENTO ÁEREO|-1.1477|38.0331|360.00
ES*FCT*E228659|CHARGING TOGETHER SL|Cadiz-Madrid Km 555,5,S/N|41701|SEVILLA|DOS HERMANAS|A LO LARGO DE LA AUTOPISTA|-5.931441|37.274259|150.00
ES*FCT*E229490|CHARGING TOGETHER SL|Viejo De Coin,Cr-Ma-426|29651|MALAGA|FUENGIROLA|A LO LARGO DE LA AUTOPISTA|-4.6413|36.5379|100.00
ES*FCT*E229587|CHARGING TOGETHER SL|Tarragona,2|25241|LLEIDA|GOLMES|A LO LARGO DE LA AUTOPISTA|0.91401|41.630671|100.00
ES*FCT*E229211|CHARGING TOGETHER SL|De Logroño A-68,Salida 257|50692|ZARAGOZA|LA JOYOSA|A LO LARGO DE LA AUTOPISTA|-1.066887|41.736552|350.00
ES*FCT*E229588|CHARGING TOGETHER SL|Avda. Puntido Nave 4 Pol. Ind. Las Cañas,S/N|26006|LA RIOJA|LOGROÑO|A LO LARGO DE LA AUTOPISTA|-2.426572|42.487692|150.00
ES*FCT*E227859|CHARGING TOGETHER SL|Av. Litoral,S/N|29680|MALAGA|ESTEPONA|A LO LARGO DE LA AUTOPISTA|-5.1297|36.4295|150.00
ES*FCT*E227861|CHARGING TOGETHER SL|Av. Valle Inclan,S/N|29010|MALAGA|MALAGA|A LO LARGO DE LA AUTOPISTA|-4.4449|36.7295|150.00
ES*FCT*E229425|CHARGING TOGETHER SL|Carretera De La Coruña, Km. 59,200|15890|LA CORUÑA|SANTIAGO DE COMPOSTELA|APARCAMIENTO ÁEREO|-8.52297|42.90147|150.00
ES*FCT*E228807|CHARGING TOGETHER SL|Costa Blanca,1|3760|ALICANTE|ONDARA|APARCAMIENTO EN SUPERFICIE|0.023807|38.818342|350.00
